id;product_name;unit_price;category
LT-H902;Headlights - Dual-Beam;34.99;Headlights - Dual-Beam
LT-H903;Headlights - Weatherproof;44.99;Headlights - Weatherproof
SH-M897-M;Men's Sports Shorts, M;59.99;Men's Sports Shorts
SH-M897-L;Men's Sports Shorts, L;59.99;Men's Sports Shorts
SH-M897-X;Men's Sports Shorts, XL;59.99;Men's Sports Shorts
SB-M891-S;Men's Bib-Shorts, S;89.99;Men's Bib-Shorts
SB-M891-M;Men's Bib-Shorts, M;89.99;Men's Bib-Shorts
SB-M891-L;Men's Bib-Shorts, L;89.99;Men's Bib-Shorts
GL-H102-S;Half-Finger Gloves, S;235.481;Half-Finger Gloves
GL-H102-M;Half-Finger Gloves, M;235.481;Half-Finger Gloves
GL-H102-L;Half-Finger Gloves, L;235.481;Half-Finger Gloves
GL-F110-S;Full-Finger Gloves, S;37.99;Full-Finger Gloves
GL-F110-M;Full-Finger Gloves, M;37.99;Full-Finger Gloves
GL-F110-L;Full-Finger Gloves, L;37.99;Full-Finger Gloves
VE-C304-S;Classic Vest, S;63.5;Classic Vest
VE-C304-M;Classic Vest, M;63.5;Classic Vest
VE-C304-L;Classic Vest, L;63.5;Classic Vest
SH-W890-S;Women's Mountain Shorts, S;69.99;Women's Mountain Shorts
SH-W890-M;Women's Mountain Shorts, M;69.99;Women's Mountain Shorts
SH-W890-L;Women's Mountain Shorts, L;69.99;Women's Mountain Shorts
BC-M005;Mountain Bottle Cage;9.99;Mountain Bottle Cage
PK-7098;Patch Kit/8 Patches;2.29;Patch kit
SO-R809-M;Racing Socks, M;8.99;Racing Socks
SO-R809-L;Racing Socks, L;8.99;Racing Socks
FE-6654;Fender Set - Mountain;21.98;Fender Set - Mountain
ST-1401;All-Purpose Bike Stand;159;All-Purpose Bike Stand
HY-1023-70;Hydration Pack - 70 oz.;54.99;Hydration Pack
SJ-0194-S;Short-Sleeve Classic Jersey, S;53.99;Short-Sleeve Classic Jersey
SJ-0194-M;Short-Sleeve Classic Jersey, M;53.99;Short-Sleeve Classic Jersey
SJ-0194-L;Short-Sleeve Classic Jersey, L;53.99;Short-Sleeve Classic Jersey
SJ-0194-X;Short-Sleeve Classic Jersey, XL;53.99;Short-Sleeve Classic Jersey
FR-T67Y-62;LL Touring Frame - Yellow, 62;333.42;LL Touring Frame
RD-2308;Rear Derailleur;121.46;Rear Derailleur
FR-T67U-50;LL Touring Frame - Blue, 50;333.42;LL Touring Frame
FR-T67U-54;LL Touring Frame - Blue, 54;333.42;LL Touring Frame
FR-T67U-58;LL Touring Frame - Blue, 58;333.42;LL Touring Frame
FR-T67U-62;LL Touring Frame - Blue, 62;333.42;LL Touring Frame
FR-T67Y-44;LL Touring Frame - Yellow, 44;333.42;LL Touring Frame
FR-T67Y-50;LL Touring Frame - Yellow, 50;333.42;LL Touring Frame
FR-T67Y-54;LL Touring Frame - Yellow, 54;333.42;LL Touring Frame
FR-T67Y-58;LL Touring Frame - Yellow, 58;333.42;LL Touring Frame
FR-T67U-44;LL Touring Frame - Blue, 44;333.42;LL Touring Frame
FR-M63S-40;ML Mountain Frame-W - Silver, 40;364.09;ML Mountain Frame-W
FR-M63S-42;ML Mountain Frame-W - Silver, 42;364.09;ML Mountain Frame-W
FR-M63S-46;ML Mountain Frame-W - Silver, 46;364.09;ML Mountain Frame-W
RB-9231;Rear Brakes;106.5;Rear Brakes
SE-M236;LL Mountain Seat/Saddle;27.12;LL Mountain Seat/Saddle 2
SE-M798;ML Mountain Seat/Saddle;39.14;ML Mountain Seat/Saddle 2
SE-M940;HL Mountain Seat/Saddle;52.64;HL Mountain Seat/Saddle 2
SE-R581;LL Road Seat/Saddle;27.12;LL Road Seat/Saddle 1
SE-R908;ML Road Seat/Saddle;39.14;ML Road Seat/Saddle 2
SE-R995;HL Road Seat/Saddle;52.64;HL Road Seat/Saddle 2
SE-T312;LL Touring Seat/Saddle;27.12;LL Touring Seat/Saddle
SE-T762;ML Touring Seat/Saddle;39.14;ML Touring Seat/Saddle
SE-T924;HL Touring Seat/Saddle;52.64;HL Touring Seat/Saddle
FR-M21S-42;LL Mountain Frame - Silver, 42;264.05;LL Mountain Frame
FR-M21S-44;LL Mountain Frame - Silver, 44;264.05;LL Mountain Frame
FR-M21S-48;LL Mountain Frame - Silver, 48;264.05;LL Mountain Frame
FR-M21S-52;LL Mountain Frame - Silver, 52;264.05;LL Mountain Frame
TT-M928;Mountain Tire Tube;4.99;Mountain Tire Tube
TT-R982;Road Tire Tube;3.99;Road Tire Tube
TT-T092;Touring Tire Tube;4.99;Touring Tire Tube
FR-M21B-42;LL Mountain Frame - Black, 42;249.79;LL Mountain Frame
FR-M21B-44;LL Mountain Frame - Black, 44;249.79;LL Mountain Frame
FR-M21B-48;LL Mountain Frame - Black, 48;249.79;LL Mountain Frame
FR-M21B-52;LL Mountain Frame - Black, 52;249.79;LL Mountain Frame
TI-M267;LL Mountain Tire;24.99;LL Mountain Tire
TI-M602;ML Mountain Tire;29.99;ML Mountain Tire
TI-M823;HL Mountain Tire;35;HL Mountain Tire
TI-R092;LL Road Tire;21.49;LL Road Tire
TI-R628;ML Road Tire;24.99;ML Road Tire
TI-R982;HL Road Tire;32.6;HL Road Tire
TI-T723;Touring Tire;28.99;Touring Tire
PD-M340;ML Mountain Pedal;62.09;ML Mountain Pedal
PD-R347;LL Road Pedal;40.49;LL Road Pedal
PD-R563;ML Road Pedal;62.09;ML Road Pedal
PD-R853;HL Road Pedal;80.99;HL Road Pedal
PD-T852;Touring Pedal;80.99;Touring Pedal
FR-M63S-38;ML Mountain Frame-W - Silver, 38;364.09;ML Mountain Frame-W
FR-M21B-40;LL Mountain Frame - Black, 40;249.79;LL Mountain Frame
FR-M21S-40;LL Mountain Frame - Silver, 40;264.05;LL Mountain Frame
FD-2342;Front Derailleur;91.49;Front Derailleur
HB-T721;LL Touring Handlebars;46.09;LL Touring Handlebars
HB-T928;HL Touring Handlebars;91.57;HL Touring Handlebars
CS-4759;LL Crankset;175.49;LL Crankset
CS-6583;ML Crankset;256.49;ML Crankset
CH-0234;Chain;20.24;Chain
BK-T44U-60;Touring-2000 Blue, 60;1214.85;Touring-2000
BK-T79Y-46;Touring-1000 Yellow, 46;2384.07;Touring-1000
BK-T79Y-50;Touring-1000 Yellow, 50;2384.07;Touring-1000
BK-T79Y-54;Touring-1000 Yellow, 54;2384.07;Touring-1000
BK-T79Y-60;Touring-1000 Yellow, 60;2384.07;Touring-1000
BK-T18U-54;Touring-3000 Blue, 54;742.35;Touring-3000
BK-T18U-58;Touring-3000 Blue, 58;742.35;Touring-3000
BK-T18U-62;Touring-3000 Blue, 62;742.35;Touring-3000
BK-T18Y-44;Touring-3000 Yellow, 44;742.35;Touring-3000
BK-T18Y-50;Touring-3000 Yellow, 50;742.35;Touring-3000
BK-T18Y-54;Touring-3000 Yellow, 54;742.35;Touring-3000
BK-T18Y-58;Touring-3000 Yellow, 58;742.35;Touring-3000
BK-T18Y-62;Touring-3000 Yellow, 62;742.35;Touring-3000
BK-T79U-46;Touring-1000 Blue, 46;2384.07;Touring-1000
BK-T79U-50;Touring-1000 Blue, 50;2384.07;Touring-1000
BK-T79U-54;Touring-1000 Blue, 54;2384.07;Touring-1000
BK-T79U-60;Touring-1000 Blue, 60;2384.07;Touring-1000
BK-T44U-46;Touring-2000 Blue, 46;1214.85;Touring-2000
BK-T44U-50;Touring-2000 Blue, 50;1214.85;Touring-2000
BK-T44U-54;Touring-2000 Blue, 54;1214.85;Touring-2000
BK-R79Y-40;Road-350-W Yellow, 40;1700.99;Road-350-W
BK-R79Y-42;Road-350-W Yellow, 42;1700.99;Road-350-W
BK-R79Y-44;Road-350-W Yellow, 44;1700.99;Road-350-W
BK-R79Y-48;Road-350-W Yellow, 48;1700.99;Road-350-W
BK-T18U-44;Touring-3000 Blue, 44;742.35;Touring-3000
BK-T18U-50;Touring-3000 Blue, 50;742.35;Touring-3000
BK-M38S-38;Mountain-400-W Silver, 38;769.49;Mountain-400-W
BK-M38S-40;Mountain-400-W Silver, 40;769.49;Mountain-400-W
BK-M38S-42;Mountain-400-W Silver, 42;769.49;Mountain-400-W
BK-M38S-46;Mountain-400-W Silver, 46;769.49;Mountain-400-W
BK-M18S-40;Mountain-500 Silver, 40;564.99;Mountain-500
BK-M18S-42;Mountain-500 Silver, 42;564.99;Mountain-500
BK-M18S-44;Mountain-500 Silver, 44;564.99;Mountain-500
BK-M18S-48;Mountain-500 Silver, 48;564.99;Mountain-500
BK-M18S-52;Mountain-500 Silver, 52;564.99;Mountain-500
BK-M18B-40;Mountain-500 Black, 40;539.99;Mountain-500
BK-M18B-42;Mountain-500 Black, 42;539.99;Mountain-500
BK-M18B-44;Mountain-500 Black, 44;539.99;Mountain-500
BK-M18B-48;Mountain-500 Black, 48;539.99;Mountain-500
BK-M18B-52;Mountain-500 Black, 52;539.99;Mountain-500
BB-7421;LL Bottom Bracket;53.99;LL Bottom Bracket
BB-9108;HL Bottom Bracket;121.49;HL Bottom Bracket
BK-R89B-52;Road-250 Black, 52;1079.99;Road-250
LJ-0192-M;Long-Sleeve Logo Jersey, M;121.49;Long-Sleeve Logo Jersey
BK-R19B-58;Road-750 Black, 58;1079.99;Road-750
WB-H098;Water Bottle - 30 oz.;121.49;Water Bottle
CL-9009;Bike Wash - Dissolver;2443.35;Bike Wash
RA-H123;Hitch Rack - 4-Bike;121.49;Hitch Rack - 4-Bike
BK-R89R-58;Road-250 Red, 58;121.49;Road-250
BK-R19B-52;Road-750 Black, 52;121.49;Road-750
BC-R205;Road Bottle Cage;121.49;Road Bottle Cage
